, TxHash, BlockHeight, TimesStamp, From, To, Value
0, 0, 0, 1576309435, 0x8a30e409cf90ffa37ea8ac1cf4d4a64de4476268, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 334.99806000000007
0, 0, 0, 1576309468, 0x83053c32b7819f420dcfed2d218335fe430fe3b5, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0.0
0, 0, 0, 1576309994, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0xe948b951aee94aaa24ec9e8182a374feffca7706, 30.000000000000004
0, 0, 0, 1576311163, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0xe948b951aee94aaa24ec9e8182a374feffca7706, 30.000000000000004
0, 0, 0, 1576311882, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0xe948b951aee94aaa24ec9e8182a374feffca7706, 30.000000000000004
0, 0, 0, 1576312882, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0xe948b951aee94aaa24ec9e8182a374feffca7706, 30.000000000000004
0, 0, 0, 1576464491, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x6f5cec80bea6158e4378883208513354cafa7605, 2.0
0, 0, 0, 1576485200, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x6f5cec80bea6158e4378883208513354cafa7605, 5.0
0, 0, 0, 1576486087, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x6f5cec80bea6158e4378883208513354cafa7605, 7.000000000000001
0, 0, 0, 1576488136, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x6f5cec80bea6158e4378883208513354cafa7605, 10.0
0, 0, 0, 1576489140, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0xd6b2a4bb2ef52d56634fa78183f2c1cf670b0482, 2.0
0, 0, 0, 1576495697, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x6f5cec80bea6158e4378883208513354cafa7605, 10.0
0, 0, 0, 1576497742, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x9290417bbda67e2d37fad2ba24f9933689627ae9, 10.0
0, 0, 0, 1576498738, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x9290417bbda67e2d37fad2ba24f9933689627ae9, 10.0
0, 0, 0, 1576499100, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x6f5cec80bea6158e4378883208513354cafa7605, 10.0
0, 0, 0, 1576506380, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x6f5cec80bea6158e4378883208513354cafa7605, 10.0
0, 0, 0, 1576509416, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x6f5cec80bea6158e4378883208513354cafa7605, 10.0
0, 0, 0, 1576543097, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x6f5cec80bea6158e4378883208513354cafa7605, 5.0
0, 0, 0, 1576544809, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x6f5cec80bea6158e4378883208513354cafa7605, 10.0
0, 0, 0, 1576545267, 0xd1e92364569d797c44f5be372b9ccd0adc164da8, 0x4ab540f69445ed270e64ebda68359bee10eeebdb, 113.99050000000001
